//    EXTERNAL WEAPON & AMMO DATA
//
//    NOTE!!!!!!!!! Weapontype must start the block of weapon data.
//    NOTE!!!!!!!!! Ammo must start the block of ammo data.
//
//  Weapontype - weapon data is associated with which weapon (must be first)
//	WP_SABER,			// player and NPC weapon
//	WP_BLASTER_PISTOL,	// player and NPC weapon
//	WP_BLASTER,			// player and NPC weapon
//	WP_DISRUPTOR,		// player and NPC weapon
//	WP_BOWCASTER,		// NPC weapon - player can pick this up, but never starts with them
//	WP_REPEATER,		// NPC weapon - player can pick this up, but never starts with them
//	WP_DEMP2,			// NPC weapon - player can pick this up, but never starts with them
//	WP_FLECHETTE,		// NPC weapon - player can pick this up, but never starts with them
//	WP_ROCKET_LAUNCHER,	// NPC weapon - player can pick this up, but never starts with them
//	WP_THERMAL,			// player and NPC weapon
//	WP_TRIP_MINE,		// NPC weapon - player can pick this up, but never starts with them
//	WP_DET_PACK,		// NPC weapon - player can pick this up, but never starts with them
//	WP_CONCUSSION,		// NPC weapon - player can pick this up, but never starts with them
//extras
//	WP_STUN_BATON,		// NPC weapon - player can pick this up, but never starts with them
//	WP_MELEE,			// player and NPC weapon - Any ol' melee attack
// These can never be gotten directly by the player
//NPC weapons
//	WP_BRYAR_PISTOL,	// NPC weapon - player can pick this up, but never starts with them
//	WP_EMPLACED_GUN,
//	WP_BOT_LASER,		// Probe droid	- Laser blast
//	WP_TURRET,			// turret guns
//	WP_ATST_MAIN,
//	WP_ATST_SIDE,
//	WP_TIE_FIGHTER,
//	WP_RAPID_FIRE_CONC,
//	WP_JAWA,
//	WP_TUSKEN_RIFLE,
//	WP_TUSKEN_STAFF,
//	WP_SCEPTER,
//	WP_NOGHRI_STICK,
//
//  Weaponclass   - weapon name
//  Weaponmodel   - weapon model used in game
//  weaponicon	  - interface image
//  Ammotype      - type of power weapon needs to fire
//    0 - No power
//    1 - Star Fleet power
//    2 - Alien Crystal power
//    3 - Phaser power
//  Ammolowcount	- amount when "Low ammo" warning appears on screen
//  Flashcolor		- color generate by weapon flash (R,G,B)
//  Firingsound		- sound file used when _idling_!
//	altfiringsound	- sound file used when alt-firing
//  flashsound		- sound file used by flash
//  altflashsound	- sound file used by an alt-fire flash
//	stopsound		- sound file used when a firing sound stops
//  Firetime		- amount of time between firings
//  altfireTime		- for alt fire
//  Range			- range of weapon
//  energyPerShot	- amount of energy used per shot
//  altenergypershot- for alt fire
//  barrelcount		- number of barrels the model has (weaponname_b?.md3)
//  missileModel	- missile .md3
//  altmissileModel	- alternate missile .md3
//  missileSound	- played while flying
//  altmissileSound	- alternate missile launch sound
//  missileLight	- intensity of lightsource for missile - if 0.0 then none (float)
//  altmissileLight	- alternate missile light
//  missileLightColor - color in three float style R, G, B (0.0 to 1.0) - NOTE - if you have a light, you MUST HAVE THESE
//  altmissileLightColor - alternate color in three float style R, G, B (0.0 to 1.0)
//  missileHitSound		- played on impact
//	altmissileHitSound	- for alt fire
//  missileFuncName		- missile fly function
//	altmissileFuncName	- for alt fire
//
//	For AMMO Types
//	ammoicon		- STRING
//	ammomax			- INT


// WP_NULL
{
WEAPONTYPE WP_NONE
}

// WP_STUN_BATON
{
weapontype       WP_STUN_BATON
weaponclass      weapon_stun_baton
weaponmodel      models/weapons2/stun_baton/baton.md3
altweaponmodel   models/weapons2/stun_baton/baton.md3
weaponIcon       gfx/hud/w_icon_stunbaton
altweaponIcon    gfx/hud/w_icon_stunbaton
firingsound	 sound/weapons/baton/idle.wav
altFiringSound	 sound/weapons/concussion/idle_lp.wav
firingforce      fffx/weapons/baton/idle
barrelcount      3
ammotype         1
ammolowcount     5
energypershot    0
firetime         400
range            8192
altenergypershot 0
altfiretime      3000
altrange         8192
muzzleEffect	 stunbaton/muzzle_flash
altmuzzleEffect	 stunbaton/muzzle_flash
}

// WP_SABER
{
weapontype       WP_SABER
weaponclass      weapon_saber
weaponmodel      models/weapons2/saber/saber_w.md3
altweaponmodel   models/weapons2/saber/saber_w.md3
weaponIcon       gfx/hud/w_icon_lightsaber
altweaponIcon    gfx/hud/w_icon_lightsaber
firingsound	 sound/weapons/saber/saberhum1.wav
ammotype         1
ammolowcount     5
energypershot    1
firetime         100
range            8192
altenergypershot 3
altfiretime      100
altrange         8192
missilemodel     models/weapons2/saber/saber_w.md3
}


// WP_BRYAR_PISTOL
{
weapontype       WP_BRYAR_PISTOL
weaponclass      weapon_bryar_pistol
weaponmodel      models/weapons2/briar_pistol/briar_pistol.md3
altweaponmodel   models/weapons2/kotor_bpistol3/kotor_bpistol3.md3
weaponIcon       gfx/hud/w_icon_briar
altweaponIcon    gfx/hud/w_icon_kotor_bpistol3
missileFuncName		bryar_func
altmissileFuncName	bryar_alt_func
ammotype         2
ammolowcount     15
energypershot    1
firetime         400
range            8192
altenergypershot 1
altfiretime      400
altrange         8192
muzzleEffect	bryar/muzzle_flash2
altmuzzleEffect	bryar/altmuzzle_flash2
altchargesound	sound/weapons/bryar/altcharge.wav
altchargeforce  	fffx/weapons/bryar/altcharge
selectSound		sound/weapons/bryar/select2.wav
selectforce     	fffx/weapons/bryar/select
overloadmuzzleEffect blaster/smokin_hot_muzzle
trueoverloadmuzzleEffect blaster/true_smokin_hot_muzzle
}

// WP_BLASTER
{
weapontype       WP_BLASTER
weaponclass      weapon_blaster
weaponmodel      models/weapons2/blaster_r/blaster.md3
altweaponmodel   models/weapons2/kotor_brifle2/kotor_brifle2.md3
weaponIcon       gfx/hud/w_icon_blaster
altweaponIcon    gfx/hud/w_icon_kotor_brifle2
ammotype         2
ammolowcount     15
energypershot    1
firetime         350
range            8192
altenergypershot 2
altfiretime      150
altrange         8192
missileFuncName		blaster_func
altmissileFuncName	blaster_alt_func
muzzleEffect		blaster/muzzle_flash
altmuzzleEffect		blaster/altmuzzle_flash
selectSound			sound/weapons/blaster/select.wav
selectforce         fffx/weapons/blaster/select
overloadmuzzleEffect blaster/smokin_hot_muzzle
trueoverloadmuzzleEffect blaster/true_smokin_hot_muzzle
}

// WP_DISRUPTOR
{
weapontype       WP_DISRUPTOR
weaponclass      weapon_disruptor
weaponmodel      models/weapons2/disruptor/disruptor.md3
altweaponmodel   models/weapons2/kotor_brifle3/kotor_brifle3.md3
